run_position,level,snr_db,clip,reference,hypothesis,wer,confidence,audio_ms,server_ms,rtf,error
11,highway,5.0,cmd_vol_down,giảm âm lượng,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,37.3333,0.95,2938.0,3942,1.3417,
12,highway,5.0,cmd_cold,lạnh quá,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,56.0,0.9494,2288.0,3744,1.6364,
13,clean,,cmd_cold,lạnh quá,rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ r,56.0,0.9567,2288.0,3667,1.6027,
14,quiet,20.0,cmd_fan_3,đặt quạt mức 3,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,28.0,0.9524,2990.0,4119,1.3776,
15,quiet,20.0,cmd_fan_5,quạt gió mức 5,rùa hòa rót di động rừng rừng rừng rừng mu kho sự sinh rừng.,3.5,0.1537,3120.0,3762,1.2058,
16,clean,,cmd_delivery_next,chặng tiếp theo,đặc dạo con tế rơi kho da đăng tốn sẽ rơi lớn tắt đỉnh bẩm hoa đạn phấu đăng để dỗ lượm vào da cho tra bàn vào da để tạo cho ra rô đãi dự án để tốn vào da để tạo dựa đỏ sự rô đặt đón đất để dỗ lấy tắt đất để lại phải phế da để chăm sóc da da đã để mà dò dạo cho da rn da để làm ra da rn để cho da để la đã đẻ em để đạt e đỏ ạt đỏ để ta phải bẩm đỏnh rn la đã đẻ ra để giặt đa dỗ để để đỏ để cho da da dao để làm cho da da để để ta đã làm ra để để làm ra cho ra da ra để để lấy dựa da để để làm ra da đã cho ra cho,49.3333,0.104,2496.0,3524,1.4119,
17,clean,,cmd_media_next,chuyển bài,đối mỗi con rào da rào và dựa mi t để tay tới ảnh để từ từ rời.,9.0,0.2294,2314.0,2197,0.9494,
18,cabin,10.0,cmd_temp_wake,viva ơi đặt nhiệt độ 25 độ,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,16.0,0.9549,6136.0,3967,0.6465,
19,highway,5.0,cmd_delivery_next,chặng tiếp theo,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,37.3333,0.9476,2496.0,4109,1.6462,
20,clean,,cmd_temp_noslot,giảm nhiệt độ,mía tự nhiên tự nhiên.,1.6667,0.243,2704.0,3178,1.1753,
21,highway,5.0,cmd_door_lock,khóa cửa lại,khắp những đường qu da đã dự buổi đồi su rế tội rịnh và hẹp lượt cuỗị hỗn holie tồi bột rịnh để rịn rịnh rịnh rịnh rịnh để xinh chia rịn rịnh rịnh rịn rịnh rịnh rịn rịn rịn rịn rịn rịnh dựn chưa hịn đã bị rịn rịn rịnh rịn rịn rịnh rịn rịnh rịn rịn cặp phẫu chuyển suế độ buổi đuổi cế độ blessn rịn để rịn sữa rịn cưỡng sửn rịn rịnh rịn rịn rịn.,26.6667,0.2284,2860.0,3843,1.3437,
22,quiet,20.0,cmd_fan_0,tắt quạt gió về mức 0,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,18.6667,0.962,3484.0,4249,1.2196,
23,clean,,cmd_door_unlock,mở khóa cửa,rỉnh sưởi diện rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ r,37.0,0.9433,3250.0,3750,1.1538,
24,highway,5.0,cmd_temp_wake,viva ơi đặt nhiệt độ 25 độ,đối với bốn t vào cuốn hỗ t và đối với con dựa lo tối bốn bốn với bốn can t đi t để tốt dự đồng m ăn tối ê t để dỗ t về bốn dựa diện tới bốn hôm tối bồi.,6.2857,0.1541,6136.0,3478,0.5668,
25,quiet,20.0,cmd_out_of_scope,đặt bàn ăn tối lúc bảy giờ,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,16.0,0.9575,4134.0,4126,0.9981,
26,quiet,20.0,cmd_media_next,chuyển bài,đám đậm dựa.,1.5,0.239,2314.0,3432,1.4831,
27,cabin,10.0,cmd_fan_3,đặt quạt mức 3,rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ r,28.0,0.955,2990.0,4509,1.508,
28,quiet,20.0,cmd_vol_down,giảm âm lượng,đào cùng đối diện gây ra mỗi giảm tay tự các từ tối diện từ đầ dựa dựa dựa sự điều tôi lựa dựa dựa dựa diện rịt diện rịt muột lưới đất t đi bị tế tế từ bi cái tế the ôm tay và giai đoạn.,15.6667,0.1551,2938.0,4205,1.4312,
29,cabin,10.0,cmd_vol_down,giảm âm lượng,dạc rà rờ rờ rờ rờ rờ rờ rờ dày đời.,3.6667,0.2179,2938.0,4356,1.4826,
30,quiet,20.0,cmd_delivery_next,chặng tiếp theo,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,37.3333,0.9419,2496.0,4204,1.6843,
31,clean,,cmd_media_play,phát nhạc,đám đèn rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ r,56.0,0.9383,2314.0,3104,1.3414,
32,quiet,20.0,cmd_media_play,phát nhạc,đối quan tối diện buổi hình tay t bị chơi từng quan từ đầu rượt đồng độc đáo đồng độc da di chuyển xám tay rời điểm điểm.,14.0,0.1818,2314.0,3638,1.5722,
33,quiet,20.0,cmd_temp_wake,viva ơi đặt nhiệt độ 25 độ,đám đối với ô lim sa quan tối un lểm hạn từ tôi tắt bị tốt được gây gánh tối tối tự nhiên tôi tự nhiên đ min lỗi dự nhiên tối giới tự nhiên tự nhiên từ giới tối tự nhiên nhằm để tự nhiên di dự nhiên khám mục đỏ lăn đối tự nhiên.,8.0,0.2243,6136.0,3430,0.559,
34,cabin,10.0,cmd_delivery_next,chặng tiếp theo,rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ r,37.3333,0.963,2496.0,4522,1.8117,
35,cabin,10.0,cmd_delivery_status,đơn a123 thế nào,đám đuông.,1.0,0.0982,4238.0,3933,0.928,
36,highway,5.0,cmd_fan_0,tắt quạt gió về mức 0,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,18.6667,0.9632,3484.0,4750,1.3634,
37,highway,5.0,cmd_temp_26,tăng nhiệt độ lên 26 độ,đám đuạn video này t được tỏ bàn mở rửa giai khoảng bàn dẻo gửi khoảng tắt đầu từ bi nhường bán tắt giải tám phẩm cá lượt chụ để rải đàn bày bàn mở bàn xắp từ nhuế vài bàn mở mình tỏ bàn rồi.,7.6667,0.1208,4706.0,2682,0.5699,
38,quiet,20.0,cmd_media_pause,dừng nhạc,rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ r,56.0,0.955,2210.0,3803,1.7208,
39,clean,,cmd_temp_24,đặt nhiệt độ 24 độ,hòa bị việc chúng t bị việc điểm điểm biên giải tiếp dựa dựa dựa dựa dựa diện nhi tại dựa diện nhi tổ hòa bùng dao dựa chuyện cho cá t được hình dựa diện nhi ạt dựa diện nhi ảnh hỗng hỗng tổng bị việc điểm hỗng lạ và chuyện tiện nhi tải số và điện nhiệnh và diện nhiịnh vi pháp từng bị điểm bàn cánh viện.,14.0,0.2673,6448.0,2014,0.3123,
40,quiet,20.0,cmd_temp_22,hạ điều hòa xuống 22 độ,đối năng di sưởi di sửu hỗn hỗn bàn mở rốt rửa rửa rửa rửa t và di sửu di lượn.,3.5,0.2285,4420.0,3469,0.7848,
41,highway,5.0,cmd_removed,bật điều hòa,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,37.3333,0.9527,2184.0,3460,1.5842,
42,cabin,10.0,cmd_removed,bật điều hòa,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,37.3333,0.9498,2184.0,3817,1.7477,
43,quiet,20.0,cmd_cold,lạnh quá,đám đèn để má tán đám đám da thu hệ tán ràng lên là quan đám đám đám đám đám đám đám đám.,11.5,0.1617,2288.0,3894,1.7019,
44,cabin,10.0,cmd_door_unlock,mở khóa cửa,mỉnh vào gia đồng chủ tỏ tăng sinh đi lội dung dày da tối nhu rịt bàn di sinh cho rịp cuối cùng gia từ di sinh rịnh rịt t để dễ dỗ hàng rịp khoang  JIM giám đồng sẽ tắt đầu cho rịp sinh con rịt bẩm giới ạt được bỉ trao học sinh điểm trao đông dưới đãi.,20.0,0.0941,3250.0,4466,1.3742,
45,highway,5.0,cmd_temp_22,hạ điều hòa xuống 22 độ,khéo tối tắt đầu bao trang vào đầu để làm tay tay dựa dựa ngày hôm ấy.,2.8333,0.144,4420.0,4093,0.926,
46,highway,5.0,cmd_media_pause,dừng nhạc,đám đồng lăng sinh sử dụng cưới.,3.5,0.2415,2210.0,3276,1.4824,
47,cabin,10.0,cmd_temp_22,hạ điều hòa xuống 22 độ,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,18.6667,0.96,4420.0,4450,1.0068,
48,highway,5.0,cmd_vol_up,tăng âm lượng,rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ r,37.3333,0.9664,2548.0,5208,2.044,
49,cabin,10.0,cmd_fan_5,quạt gió mức 5,khô rải rải ô nhiên sửa ôn dựa ôn lạt ôn lạt ôn lạt ôn loạt đối lạt dựa mi khách ăn vốn dựa dựa ôn la ạt dựa ôn ạt dựa ôn lao phun sẽ rải ôn ôn lạt dựa ôn nước rải ôn lạt dựa ôn đựa ôn đay.,12.75,0.2814,3120.0,4722,1.5135,
50,quiet,20.0,cmd_delivery_status,đơn a123 thế nào,rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ r,28.0,0.9599,4238.0,3884,0.9165,
51,highway,5.0,cmd_media_next,chuyển bài,đám đám đám đám đám chi để tám xám dô.,5.0,0.2875,2314.0,3228,1.395,
52,cabin,10.0,cmd_vol_up,tăng âm lượng,rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ r,37.3333,0.9665,2548.0,4668,1.832,
53,highway,5.0,cmd_out_of_scope,đặt bàn ăn tối lúc bảy giờ,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,16.0,0.9611,4134.0,4334,1.0484,
54,highway,5.0,cmd_fan_5,quạt gió mức 5,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,28.0,0.9485,3120.0,4563,1.4625,
55,cabin,10.0,cmd_temp_24,đặt nhiệt độ 24 độ,đám đối tắt đuạn đối lượng đối với tối hỗ lực lượng đối với tôi.,3.0,0.3753,6448.0,245,0.038,
